	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
SLC6A9	103.1952598	135.589868	173.8285663	137.537898	7.103685392
FCER2	64.08092744	88.65491371	259.9305665	137.5554692	7.103869692
PPAN	130.6585144	131.2440389	151.0846418	137.6623984	7.10499074
C5orf32	118.1752168	138.1973655	156.7706229	137.7144017	7.10553563
LOC100507459	128.9940747	126.8982098	157.5829059	137.8250635	7.106694456
ANKRD23	119.0074367	131.2440389	163.2688871	137.8401209	7.106852062
C17orf57	135.6518334	101.692401	176.2654154	137.8698833	7.107163534
PDK4	119.8396565	157.3190136	136.4635474	137.8740725	7.10720737
CCDC138	147.3029111	136.4590339	129.9652832	137.9090761	7.107573596
LOC728613	137.3162731	141.6740288	134.8389814	137.9430944	7.107929425
TG	120.6718763	123.4215465	169.7671512	137.9535247	7.108038508
LOC441736	114.0141177	163.4031743	136.4635474	137.9602798	7.108109149
ADSSL1	129.8262946	126.8982098	157.5829059	138.1024701	7.109595314
ZNF57	133.1551739	138.1973655	142.9618116	138.1047837	7.109619482
ZNF790	148.9673508	108.6457276	156.7706229	138.1279004	7.109860949
IMMP2L	122.336316	145.1506921	147.0232267	138.1700782	7.110301413
GPAM	151.4640103	126.029044	137.2758304	138.2562949	7.111201359
C22orf37	146.4706913	140.804863	127.5284342	138.2679961	7.111323455
ORM2	91.54418206	99.95406938	224.1901136	138.5627883	7.114396057
RAB33B	136.4840532	128.6365415	151.0846418	138.7350788	7.116188805
FLVCR2	133.9873937	146.8890237	135.6512644	138.8425606	7.117306067
TSPAN4	120.6718763	154.7115161	141.3372455	138.9068793	7.11797424
YBEY	145.6384715	138.1973655	133.2144153	139.0167508	7.11911492
HLA-DRB6	124.0007557	127.7673756	165.7057361	139.1579558	7.120579581
CYP2R1	141.4773723	109.5148934	166.5180191	139.1700949	7.120705426
DTWD2	160.6184285	121.6832149	135.6512644	139.3176359	7.122234087
SLC25A4	143.1418119	130.3748731	144.5863776	139.3676876	7.1227523
KCTD21	133.1551739	146.8890237	138.0881134	139.377437	7.122853221
DNLZ	139.8129326	135.589868	142.9618116	139.4548707	7.123654514
C15orf38	143.9740318	122.5523807	151.8969248	139.4744458	7.123857008
ATP9A	153.9606698	132.1132048	132.4021323	139.4920023	7.124038598
STXBP4	140.6451524	99.95406938	177.8899814	139.4964011	7.124084092
CACNB3	141.4773723	112.1223909	164.8934531	139.4977388	7.124097926
GPC5	141.4773723	138.1973655	138.9003965	139.5250447	7.124380299
PI15	153.9606698	84.30908461	180.3268305	139.532195	7.124454231
ACYP2	158.121769	133.8515364	126.7161512	139.5631522	7.124774278
