Q8A1N1	PF16357
Q8A1L2	PF01523
Q8A9A5	PF07726
Q8A9A5	PF17863
Q8A1I6	PF04616
Q8A2B0	PF00696
Q8A8E2	PF01370
Q8A334	PF01624
Q8A334	PF05188
Q8A334	PF05192
Q8A334	PF05190
Q8A334	PF00488
Q8A0S1	PF02878
Q8A0S1	PF02879
Q8A0S1	PF02880
Q8A0S1	PF00408
Q8A0V1	PF02472
Q8A9X5	PF02954
Q8A9X5	PF00072
Q8A9X5	PF00158
Q8A0Y2	PF00082
Q8A8K7	PF05896
Q8A8K7	PF11973
Q8A5S7	PF03948
Q8A5S7	PF01281
Q8A2Q1	PF00930
Q8A2Q1	PF00326
Q8AB89	PF13173
Q8AB89	PF13635
Q8A048	PF13472
Q8A498	PF01176
Q8A7G0	PF14489
Q8A636	PF16217
Q8A636	PF09471
Q8A988	PF03129
Q8A988	PF09180
Q8A988	PF00587
Q8A7Z5	PF00977
Q8A2B9	PF00664
Q8A2B9	PF00005
Q8A0A0	PF07715
Q8A009	PF04011
Q8ABE6	PF00207
Q8ABE6	PF07703
Q8ABE6	PF11974
Q8ABE6	PF17972
Q8ABE6	PF17962
Q8ABE6	PF01835
Q8A2P0	PF02580
Q8AB73	PF10459
Q8A670	PF16363
Q89Z42	PF12008
Q89Z42	PF04313
Q89Z42	PF18766
Q8A2G3	PF11306
Q8A2M9	PF16313
Q8A2M9	PF17148
Q8A2M9	PF17162
Q8A0X5	PF03544
Q8A541	PF00696
Q8A541	PF13840
Q8A541	PF00742
Q8A541	PF03447
Q8A3A0	PF00890
Q8A3A0	PF02910
Q8A5T2	PF01261
Q8A446	PF00710
Q8A446	PF17763
Q8A011	PF03462
Q8A011	PF00472
Q8A0M9	PF16344
Q8A0M9	PF04773
Q8AA40	PF00772
Q8AA40	PF03796
Q89Z17	PF02424
Q8A7H3	PF16313
Q8A7H3	PF17148
Q8A7H3	PF17162
Q8A6X0	PF07661
Q8A0S3	PF01368
Q8A6J7	PF00313
Q02550	PF04055
Q02550	PF13186
Q8A007	PF00326
Q8A130	PF05697
Q8A8C4	PF01025
Q89YN1	PF00425
Q8A6B6	PF12833
Q8A3H6	PF01037
Q8A3H6	PF13404
Q8A0V3	PF03740
Q8ABF8	PF00756
Q8A6X9	PF13173
Q8A9E5	PF00155
Q8ABA9	PF00815
Q8A572	PF12867
Q8A0H3	PF07610
Q8A0Y6	PF00149
Q8A0S8	PF01300
Q8A6W7	PF16352
Q8A6W7	PF08244
Q8A6W7	PF00251
Q8A6Z6	PF00009
Q8A6Z6	PF16658
Q8A6A6	PF16654
Q8A6A6	PF01118
Q8A7H5	PF03577
Q8A2S9	PF02602
Q8A8L2	PF00970
Q8A8L2	PF00111
Q8A8L2	PF00175
Q8A4U2	PF17783
Q8A4U2	PF13509
Q8A792	PF00483
Q8A760	PF14114
Q89ZS6	PF00027
Q89ZS6	PF13545
Q8A028	PF00930
Q8A028	PF00326
Q8A1G4	PF00149
Q89YZ2	PF01195
Q8A6L9	PF00682
Q8A6L9	PF08502
Q8A9H9	PF05362
Q89ZQ4	PF00781
Q8A3Z4	PF03372
Q8A3Z4	PF00149
Q8A3Z4	PF16656
Q8AAE7	PF01808
Q8A047	PF07470
Q89ZM0	PF07715
Q89ZM0	PF00593
Q8A4B7	PF00873
Q8ABD4	PF14300
Q8A7A1	PF16385
Q8A7A1	PF00884
Q8A9A2	PF04055
Q8A9A2	PF18693
Q8A9A2	PF00919
Q8A5K9	PF07733
Q8A5K9	PF17657
Q8A5K9	PF14579
Q8A5K9	PF02811
Q8A5K9	PF01336
Q8AAV2	PF07715
Q8AAV2	PF00593
Q8ABE1	PF03372
Q8A9M6	PF00698
Q8A9E4	PF00781
Q8AAN5	PF01558
Q8AAE6	PF01814
Q8A139	PF02620
Q8A650	PF06414
Q8A463	PF00009
Q8A463	PF03144
Q8A463	PF03143
Q8A0U4	PF07659
Q8A8E3	PF16363
Q8AAP7	PF13201
Q8A2Z3	PF16387
Q8A2Z3	PF03009
Q8AAP5	PF03652
Q8A814	PF00588
Q8A814	PF08032
Q8A9R9	PF00675
Q8A9R9	PF05193
Q8A5L0	PF00085
Q8A7Z7	PF01502
Q8A7Z7	PF01503
Q8A8Y4	PF04041
Q8A7E1	PF08534
Q8AB09	PF01734
Q8A3B9	PF13180
Q8A3B9	PF03572
Q8A537	PF01494
Q8A9Y8	PF00085
Q8A9B1	PF13584
Q89YR4	PF16355
Q89YR4	PF18565
Q89YR4	PF00703
Q89YR4	PF02836
Q89YR4	PF02837
Q8A2M2	PF02130
Q8A0Z4	PF00318
Q8A7S7	PF02518
Q8A7S7	PF00512
Q8A7S7	PF08448
Q8A7S7	PF13188
Q8A7S7	PF00072
Q8A9Q8	PF16355
Q8A9Q8	PF00703
Q8A9Q8	PF02836
Q8A9Q8	PF02837
Q8A9D3	PF01784
Q8AB93	PF00881
Q8A423	PF00483
Q8A1V9	PF07687
Q8A1V9	PF01546
Q8A0M3	PF13291
Q8A0M3	PF04607
Q8A0M3	PF02824
Q8A8Y8	PF07715
Q8A6M5	PF00291
Q8AA22	PF01938
Q8AA22	PF05958
Q8AAB4	PF00733
Q8AAB4	PF13537
Q8A246	PF01966
Q8A246	PF13286
Q8A543	PF00291
Q8A543	PF14821
Q8A3X5	PF03485
Q8A3X5	PF05746
Q8A3X5	PF00750
Q8A0U9	PF01965
Q8A277	PF00204
Q8A277	PF00986
Q8A277	PF02518
Q8A277	PF01751
Q8A6Y8	PF02638
Q8A3K7	PF00535
Q8A9P9	PF13181
Q8A910	PF10988
Q8A999	PF00830
Q89ZW7	PF09976
Q8A9Y4	PF00672
Q8A9Y4	PF02518
Q8A9Y4	PF00512
Q89ZQ2	PF07715
Q8AAT2	PF01370
Q8A774	PF00106
Q8A774	PF01128
Q8A634	PF02472
Q8A3K9	PF00984
Q8A3K9	PF03720
Q8A3K9	PF03721
Q8A164	PF00675
Q8A164	PF05193
Q8A2B1	PF17810
Q8A2B1	PF17944
Q8A2B1	PF02784
