"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"NKX2-2",8,5,3,52,38,50
"PAX1",0,0,0,0,0,0
"LOC100652902",18045,18983,20704,8875,9440,8658
"LOC100270679",0,0,0,0,0,0
"LOC100505651",0,0,0,0,0,0
"LOC284788",0,0,0,0,0,0
"LINC00261",0,0,0,0,0,0
"FOXA2",0,0,0,0,0,0
"SSTR4",0,0,0,0,0,0
"THBD",2700,2765,1860,2643,2548,2613
"CD93",11386,11547,11638,5679,6330,6123
"LOC200261",17,14,8,14,13,19
"LOC100505664",1,1,3,2,0,0
"NXT1",529,551,531,326,380,334
"LOC100505683",6,3,5,0,1,0
"GZF1",822,859,782,446,528,461
"NAPB",313,297,385,302,335,332
"CSTL1",0,0,0,0,0,0
"CST11",0,0,0,0,0,0
"CST8",0,0,0,0,0,0
"CSTT",0,0,0,0,0,0
"CST9L",0,0,0,0,0,0
"CST9",0,0,0,0,0,0
"CST3",15671,16133,18859,13188,12997,13105
"CST4",0,0,0,0,0,0
"CST1",0,0,0,0,0,0
"CST2",0,0,0,0,0,0
"CST5",0,1,0,0,0,0
"GGTLC1",6,12,11,11,5,7
"FLJ33581",0,0,0,0,0,0
"SYNDIG1",0,0,0,0,0,0
"CST7",181,189,233,840,947,889
"C20orf3",2140,2081,2161,1207,1375,1250
"ACSS1",819,861,867,221,232,232
"VSX1",0,0,0,0,0,0
"LOC284798",0,1,0,0,0,0
"ENTPD6",2043,2213,2100,1162,1283,1219
"PYGB",2471,2590,2636,1437,1526,1426
"ABHD12",1380,1502,1408,2646,2764,2607
"GINS1",1188,1078,972,882,1008,1038
"NINL",614,610,663,190,221,192
"NANP",356,354,383,217,218,200
"ZNF337",1019,920,1122,349,349,349
"FAM182B",14,10,16,5,5,6
"LOC100289375",20,13,9,3,1,6
"LOC100134868",138,137,115,18,32,15
"FAM182A",7,10,12,5,3,3
"NCOR1P1",0,0,0,0,0,0
"LOC284801",169,137,128,342,255,317
"MIR663",97,91,70,154,144,193
"FLJ45832",3,4,3,1,1,0
"FRG1B",610,607,686,340,436,393
"DEFB115",0,0,0,0,0,0
"DEFB116",0,0,0,0,0,0
"DEFB118",0,0,0,0,0,0
"DEFB119",0,0,0,0,0,0
"DEFB121",0,0,0,0,0,0
"DEFB122",0,0,0,0,0,0
"DEFB123",0,0,0,0,0,0
"DEFB124",0,0,0,0,0,1
"REM1",0,0,1,5,3,5
"LINC00028",1,2,2,1,1,0
"HM13",3500,3750,3640,4129,4508,4053
"PSIMCT-1",277,224,212,102,110,80
"ID1",38,46,14,62,54,59
"MIR3193",0,0,0,0,0,0
"COX4I2",0,1,0,0,0,0
"BCL2L1",1010,965,1001,894,1011,1015
"TPX2",7165,7202,4733,3624,4171,3940
"MYLK2",19,31,14,24,21,25
"FOXS1",0,0,0,0,1,1
"DUSP15",3,6,4,1,1,1
"TTLL9",3,0,0,0,0,0
"PDRG1",537,543,481,413,499,390
"XKR7",3,0,1,2,1,1
"C20orf160",4,2,1,26,22,20
"HCK",2761,2936,2836,7476,8355,7917
"TM9SF4",3603,3716,3850,3526,4011,3943
"TSPY26P",13,10,19,1,4,7
"PLAGL2",3360,3546,3729,2723,2929,3000
"POFUT1",3953,4110,3792,1299,1424,1428
"MIR1825",0,0,0,0,0,0
"KIF3B",1032,1028,993,557,603,576
"LOC100506402",0,0,1,0,0,0
"ASXL1",4626,4774,4142,2103,2270,2426
"C20orf112",2059,2163,2276,1108,1164,1221
"LOC100506597",93,118,117,75,85,110
"LOC284804",53,50,45,34,46,29
"LOC149950",0,0,3,2,0,1
"C20orf203",34,37,33,8,9,1
"COMMD7",1259,1256,1215,1044,1112,979
"DNMT3B",317,356,295,102,141,109
"MAPRE1",5011,4945,4737,4050,4685,4305
"EFCAB8",9,8,21,12,14,13
"SUN5",0,0,0,2,0,0
"BPIFB2",0,0,0,0,0,0
"BPIFB6",0,0,0,0,0,0
"BPIFB3",1,0,0,0,0,0
"BPIFB4",0,0,0,0,0,0
"BPIFA2",0,0,0,0,0,0
"BPIFA4P",0,0,0,0,0,0
"BPIFA3",0,0,0,0,0,0
"BPIFA1",0,0,0,0,0,0
"BPIFB1",0,0,0,0,0,0
"CDK5RAP1",819,843,788,571,647,604
"SNTA1",93,82,76,20,23,18
"CBFA2T2",1256,1284,1243,615,667,652
"NECAB3",301,305,335,114,96,117
"C20orf144",4,6,10,0,2,0
"C20orf134",48,44,50,4,9,17
"E2F1",1651,1782,1683,1288,1268,1165
"PXMP4",476,523,492,101,99,93
"ZNF341",268,268,304,273,296,282
"LOC100652854",18,18,15,75,88,58
"CHMP4B",2949,3029,2976,4553,4933,4913
"LOC100505490",46,58,52,23,35,15
"RALY",5324,5465,4895,3436,3471,3361
"MIR4755",0,0,1,0,1,0
"EIF2S2",7023,6198,8274,6468,7450,7034
"ASIP",2,2,5,4,2,2
"AHCY",5489,5834,5688,1656,1889,1672
"ITCH",2019,1816,2079,2412,2628,2735
"MIR644",0,0,0,1,2,3
"DYNLRB1",2069,2047,2046,1676,1890,1835
"MAP1LC3A",192,214,213,486,483,466
"PIGU",796,908,802,285,365,318
"TP53INP2",251,266,376,900,1026,1042
"NCOA6",3122,3152,2988,2335,2553,2574
"HMGB3P1",0,0,0,0,0,0
"GGT7",450,527,531,281,295,307
"ACSS2",1507,1464,1523,1355,1355,1409
"GSS",1766,1736,1616,817,878,775
"MYH7B",231,180,192,341,343,361
"MIR499",1,1,2,4,10,3
"MIR499A",0,0,0,0,0,0
"TRPC4AP",3807,4018,3906,5957,6516,6219
"EDEM2",1477,1462,1554,1507,1628,1508
"PROCR",175,192,237,311,369,342
"MMP24",185,225,179,132,136,145
"EIF6",2154,2255,2174,1677,1815,1602
"FAM83C",0,0,0,1,2,0
"UQCC",1191,1260,1213,1177,1343,1192
"GDF5OS",0,0,0,1,0,0
"GDF5",1,0,0,0,0,3
"MIR1289-1",1,0,0,0,0,0
"CEP250",3272,3323,3066,1489,1709,1709
"C20orf173",0,0,1,1,5,1
"ERGIC3",6409,6943,6670,3878,4108,3628
"FER1L4",45,34,99,24,30,19
"SPAG4",71,74,93,52,58,51
"CPNE1",5513,5789,5613,3092,3426,3329
"RBM12",3279,3296,2845,1706,1925,1833
"NFS1",869,897,843,434,469,423
"ROMO1",840,908,837,537,501,426
"RBM39",10163,8509,9935,8702,9920,9514
"PHF20",1997,2059,2042,1292,1404,1368
"SCAND1",713,840,823,561,584,550
"C20orf152",1,2,2,0,0,3
"LOC647979",7421,6255,7937,4589,4991,5329
"EPB41L1",86,91,106,194,213,210
"C20orf4",1299,1370,1283,990,1028,964
"DLGAP4",800,825,885,1739,1879,1944
"MYL9",2901,2862,2929,941,1020,1015
"TGIF2",1786,1871,1696,1809,2038,2006
"TGIF2-C20ORF24",0,0,0,0,0,3
"C20orf24",687,671,668,996,919,955
"SLA2",47,41,64,15,19,11
"NDRG3",608,548,672,200,207,239
"DSN1",1203,1117,1027,826,929,904
"KIAA0889",4329,4268,4013,1249,1348,1362
"C20orf118",262,249,318,440,477,497
"SAMHD1",14528,14833,14920,15471,17298,16766
"RBL1",1683,1330,1616,905,1070,1027
"C20orf132",73,56,71,14,29,24
"RPN2",19539,19841,18459,15611,17505,16662
"GHRH",0,0,0,0,0,0
"MANBAL",554,648,534,669,760,714
"SRC",381,399,436,6384,6626,6778
"BLCAP",1772,1721,1756,1282,1433,1373
"NNAT",57,59,56,73,105,98
"LOC100287792",0,2,0,0,0,1
"CTNNBL1",1486,1466,1230,2603,2969,2703
"VSTM2L",0,0,1,1,1,0
"TTI1",1589,1632,1506,1032,1123,1194
"RPRD1B",2000,2078,1858,1058,1174,1120
"TGM2",81,113,130,491,567,543
"KIAA1755",3,0,2,0,2,2
"BPI",18,8,25,15,9,10
"LBP",2,3,0,2,0,2
"LOC388796",676,717,724,456,406,436
"SNORA71B",30,35,28,11,8,4
"SNORA71A",16,20,16,6,12,4
"SNORA71C",26,15,17,9,13,11
"SNORA71D",3,1,4,0,0,0
"SNHG11",198,218,231,78,85,77
"SNORA39",2,1,2,0,0,0
"SNORA60",16,8,5,1,2,1
"RALGAPB",2817,2715,2828,2256,2588,2673
"MIR548O2",0,0,0,0,0,0
"ADIG",0,1,0,0,0,1
"ARHGAP40",0,0,0,0,0,5
"SLC32A1",0,0,0,0,0,0
"ACTR5",448,422,366,226,272,263
"PPP1R16B",63,68,63,439,470,499
"FAM83D",828,815,509,294,288,304
"DHX35",807,801,796,432,533,516
"LOC339568",0,0,0,0,0,0
"LOC100505663",0,0,0,0,0,0
"MAFB",59,48,75,7434,7946,7987
"LOC100128988",0,0,0,2,8,3
"TOP1",6579,5378,6140,7882,9022,9384
"LOC100505725",2,6,6,1,4,2
"PLCG1",1541,1544,1375,461,535,525
"ZHX3",2080,2027,2525,640,739,690
"LPIN3",1464,1456,1708,844,898,836
"EMILIN3",60,42,41,141,136,116
"CHD6",2745,2418,2638,2010,2289,2365
"PTPRT",0,0,0,0,0,0
"SRSF6",9537,9282,9178,4917,5197,5332
"L3MBTL1",331,331,374,73,76,70
"LOC100505763",25,35,36,15,3,6
"SGK2",30,29,60,21,26,18
"IFT52",746,766,801,259,247,212
"MYBL2",6662,6837,4997,5850,6289,6059
"GTSF1L",0,0,0,0,0,0
"TOX2",249,256,346,129,166,152
"JPH2",0,1,2,0,0,0
"C20orf111",670,688,704,1090,1216,1045
"LOC100505783",42,42,41,8,22,17
"GDAP1L1",1,2,1,1,0,0
"FITM2",73,62,58,25,19,30
"R3HDML",0,0,0,0,6,3
"HNF4A",0,0,0,1,0,0
"MIR3646",0,0,0,0,0,0
"TTPAL",1036,1007,910,583,640,637
"SERINC3",3549,3534,3350,2343,2575,2750
"PKIG",66,59,56,54,54,53
"ADA",416,440,464,111,132,160
"LOC79015",27,30,45,31,39,36
"WISP2",8,7,12,1,0,1
"KCNK15",9,16,21,14,7,9
"RIMS4",94,94,72,52,68,59
"YWHAB",13343,12851,12107,7910,8940,8793
"PABPC1L",321,353,340,205,236,219
"TOMM34",1344,1525,1298,2110,2291,2238
"LOC100505826",5,0,1,4,3,3
"STK4",3637,3653,3605,9171,10763,10382
"KCNS1",43,45,39,66,71,47
"WFDC5",0,0,0,26,19,17
"WFDC12",0,0,1,0,0,1
"PI3",0,0,0,0,0,1
"SEMG1",98,92,80,44,50,46
"SEMG2",0,0,0,40,39,27
"SLPI",1353,1384,1039,775,773,680
"MATN4",10,9,2,13,19,10
"RBPJL",7,7,11,13,25,14
"SDC4",327,303,406,3386,3598,3358
"SYS1",563,599,526,498,543,501
"SYS1-DBNDD2",0,0,0,0,0,0
"TP53TG5",6,6,6,2,8,1
"LOC100128997",18,12,17,9,15,5
"DBNDD2",17,28,18,10,5,9
"PIGT",5129,5134,4959,3735,4003,3946
"LOC100130157",33,40,43,35,37,49
"WFDC2",3,2,1,2,0,0
"SPINT3",0,0,0,0,0,0
"WFDC6",0,3,0,0,0,0
"SPINLW1-WFDC6",0,0,0,0,0,0
"SPINLW1",0,0,0,0,0,0
"WFDC8",0,0,0,0,0,0
"WFDC9",0,0,0,0,0,0
"WFDC10A",0,1,1,0,0,1
"WFDC11",0,2,0,0,0,0
"WFDC10B",1,0,0,0,0,0
"WFDC13",1,0,0,1,0,0
"MIR3617",0,0,0,0,0,0
"SPINT4",0,0,0,0,0,0
"WFDC3",8,7,1,0,1,1
"DNTTIP1",1614,1644,1571,1313,1412,1349
"UBE2C",1564,1597,1163,646,709,704
"TNNC2",3,4,3,0,6,4
"SNX21",233,235,256,247,235,258
"ACOT8",618,752,646,341,366,336
"ZSWIM3",378,376,335,269,256,257
"ZSWIM1",575,572,605,389,484,496
"C20orf165",19,26,21,8,12,15
"NEURL2",45,39,45,9,16,16
"CTSA",6290,6431,6616,3927,4326,4294
"PLTP",1165,1237,1218,220,214,214
"PCIF1",1169,1226,1127,905,884,946
"ZNF335",2225,2216,2250,1884,1851,1990
"MMP9",15,18,43,4936,4802,4933
"LOC100128028",4,4,6,7,11,9
"SLC12A5",3,0,1,1,0,0
"NCOA5",2431,2532,2239,1619,1870,1816
"CD40",239,257,296,9335,9878,9320
"CDH22",2,8,2,0,2,8
"SLC35C2",1981,1881,2016,1886,2093,1999
"ELMO2",1776,1890,1945,2424,2712,2574
"MKRN7P",2,0,1,0,0,0
"ZNF334",124,108,129,32,29,47
"C20orf123",0,0,0,4,2,4
"SLC13A3",16,8,13,8,17,15
"TP53RK",543,588,581,332,364,398
"SLC2A10",106,125,140,19,23,10
"EYA2",0,0,0,0,0,0
"LOC100505944",0,0,0,0,0,0
"MIR3616",0,0,0,0,0,0
"ZMYND8",1684,1599,1914,723,827,783
"LOC100131496",1,4,1,2,0,1
"LOC100505963",2,2,3,1,7,7
"NCOA3",2227,2044,2452,5220,5935,5938
"SULF2",265,247,177,3975,4418,4568
"LOC100505983",0,0,0,0,0,0
"LOC100130589",0,0,2,5,4,5
"LOC100506034",0,0,1,0,0,0
"LOC100506053",1,0,0,0,0,0
"LOC284749",0,2,0,0,0,0
"LOC100506069",0,0,0,0,0,0
"PREX1",16171,16764,17179,4592,4810,4868
"ARFGEF2",3553,3350,3455,2644,2970,2918
"CSE1L",5397,4336,4737,3190,3510,3346
"STAU1",3188,3083,2840,3469,3857,3901
"DDX27",3205,3085,2815,1699,2025,1973
"ZNFX1",2542,2552,2512,26247,29441,29323
"ZNFX1-AS1",3076,3348,4257,2258,2494,2190
"SNORD12C",2,2,3,0,3,2
"SNORD12B",16,4,8,6,7,8
"SNORD12",19,16,14,20,19,22
"KCNB1",0,0,0,2,0,1
"PTGIS",0,0,0,0,0,1
"LOC728671",0,0,0,0,0,0
"B4GALT5",3509,3522,3622,18076,20062,19894
"SLC9A8",1593,1621,1761,3312,3533,3678
"SPATA2",625,595,592,479,545,582
"RNF114",2270,2538,2367,5414,5787,5422
"SNAI1",204,250,264,603,600,713
"UBE2V1",14,18,18,8,13,7
"TMEM189-UBE2V1",0,0,0,0,0,0
"TMEM189",756,816,795,761,813,854
"CEBPB",765,769,979,2304,2157,2349
"LOC100506115",11,11,14,23,30,26
"LOC284751",18,23,14,35,29,37
"PTPN1",2994,2968,2908,3236,3583,3572
"LOC100506153",18,13,28,37,34,26
"MIR645",3,0,0,3,2,4
"FAM65C",4,1,4,11,28,19
"MIR1302-5",0,0,0,0,0,0
"LOC100506175",0,0,0,0,0,0
"PARD6B",62,50,61,13,13,8
"BCAS4",8,6,8,2,4,1
"ADNP",5260,5058,4912,2620,2990,3041
"DPM1",1067,989,1173,872,961,853
"MOCS3",358,430,366,187,166,169
"KCNG1",271,259,278,207,185,179
"NFATC2",1110,1174,1041,357,412,405
"MIR3194",0,0,0,0,0,0
"ATP9A",185,152,163,265,263,334
"SALL4",322,323,371,52,69,61
"ZFP64",844,901,824,315,356,320
"TSHZ2",3,8,9,7,13,9
"ZNF217",6324,5575,6243,2436,3017,2963
"SUMO1P1",187,163,187,73,93,68
"BCAS1",2,3,3,1,2,1
"MIR4756",0,0,0,0,0,0
"CYP24A1",0,0,0,0,0,0
"PFDN4",542,485,694,271,330,296
"DOK5",0,0,0,0,0,0
"CBLN4",0,0,0,0,0,0
"MC3R",0,0,0,0,0,0
"C20orf108",466,475,597,71,99,72
"AURKA",2958,3091,2197,1749,2007,1894
"CSTF1",1132,1079,1219,644,687,676
"CASS4",225,210,308,66,101,82
"C20orf43",2994,3205,2989,2590,2670,2583
"GCNT7",25,26,15,25,32,24
"LOC100130156",9,13,16,40,20,13
"C20orf106",26,20,34,54,53,65
"C20orf107",19,16,17,31,36,32
"TFAP2C",12,24,26,105,130,133
"BMP7",0,0,0,0,0,0
"MIR4325",0,0,0,0,0,0
"SPO11",0,0,0,0,0,0
"RAE1",1384,1437,1268,957,1107,1003
"MTRNR2L3",0,0,3,1,2,1
"LOC100291105",11,21,15,10,16,7
"RBM38",1063,1008,1197,961,1005,1045
"CTCFL",0,0,0,0,1,0
"PCK1",0,2,0,0,0,0
"ZBP1",0,0,0,141,168,170
"PMEPA1",56,49,64,33,26,25
"MIR4532",0,0,0,0,0,0
"C20orf85",0,0,0,0,0,0
"ANKRD60",0,0,0,0,0,0
"PPP4R1L",81,73,91,215,274,286
"RAB22A",1232,1102,1301,739,815,794
"VAPB",1490,1410,1321,1048,1190,1138
"APCDD1L",2,0,0,1,1,0
"LOC149773",1,1,0,0,0,1
"MGC4294",0,0,0,0,0,0
"STX16",3433,3348,4500,2938,3212,3300
"STX16-NPEPL1",5,3,6,12,9,8
"NPEPL1",43,56,49,14,13,19
"LOC100652930",3,4,3,3,2,2
"LOC100506348",0,0,0,0,0,0
"MIR296",0,0,0,0,0,1
"MIR298",0,0,0,0,0,0
"GNAS-AS1",1,0,0,0,0,0
"GNAS",20803,20808,18565,15029,16678,15961
"TH1L",2906,2949,2609,1447,1655,1569
"CTSZ",13144,13316,12706,22681,25111,24011
"TUBB1",65,64,62,36,58,58
"SLMO2-ATP5E",0,0,0,0,0,0
"ATP5E",1295,1218,1419,797,839,780
"SLMO2",907,776,960,624,592,667
"ZNF831",0,0,0,0,0,0
"EDN3",0,0,0,0,0,0
"PHACTR3",4503,4477,4433,131,142,156
"LOC100506384",3,2,0,0,0,0
"SYCP2",126,90,176,60,69,86
"C20orf177",979,848,962,260,291,300
"PPP1R3D",503,526,535,247,321,315
"CDH26",34,46,60,5,8,8
"C20orf197",512,410,392,11,14,15
"LOC729296",17,20,32,2,1,0
"MIR646",2,2,1,0,0,0
"MIR4533",0,0,0,0,0,0
"MIR548AG2",0,0,0,0,0,0
"LOC100506470",0,0,0,0,0,0
"CDH4",0,1,2,0,1,0
"LOC100128310",0,0,0,0,0,0
"MIR1257",0,1,0,0,0,0
"TAF4",1626,1734,1482,672,744,814
"LSM14B",1766,1795,1696,696,735,682
"PSMA7",3920,4184,3855,2521,2717,2506
"SS18L1",1005,1001,1227,622,606,574
"GTPBP5",990,1048,980,842,894,827
"HRH3",1,0,0,0,0,0
"FLJ44790",0,0,0,0,0,0
"OSBPL2",1226,1183,1122,957,974,975
"ADRM1",2408,2530,2433,3783,3664,3370
"LAMA5",642,653,744,1239,1192,1381
"MIR4758",0,0,0,0,0,0
"LOC100506553",1,0,0,2,0,1
"RPS21",7286,7969,9372,3485,3396,2984
"CABLES2",772,775,684,336,327,389
"C20orf151",0,0,0,0,0,0
"GATA5",0,1,0,0,0,0
"C20orf166-AS1",0,0,0,2,1,0
"C20orf166",0,0,0,0,0,0
"MIR1-1",0,0,0,0,0,0
"MIR133A2",0,0,0,0,0,0
"LOC100131174",0,0,0,0,0,0
"LOC100505735",0,0,0,0,0,0
"FLJ32154",12,7,12,1,3,2
"SLCO4A1",372,419,429,127,134,115
"LOC100127888",24,12,23,2,1,5
"NTSR1",585,601,636,31,46,38
"LOC100652730",11,5,17,0,0,0
"C20orf20",798,860,823,458,537,483
"OGFR",3586,3866,3829,8169,7968,7839
"COL9A3",425,375,432,26,33,21
"TCFL5",887,907,943,160,187,240
"DPH3P1",113,135,112,39,48,41
"DIDO1",6321,6336,5905,3412,3590,3626
"C20orf11",2191,2247,2125,1127,1163,1135
"SLC17A9",2787,2850,3624,828,720,855
"BHLHE23",1,0,0,0,0,0
"LOC63930",0,0,0,0,0,0
"LINC00029",0,0,0,0,0,0
"LOC100144597",0,0,0,0,0,0
"HAR1B",0,0,0,0,0,0
"HAR1A",0,1,0,0,0,0
"MIR124-3",0,0,0,0,0,0
"YTHDF1",2514,2389,2402,2018,2183,2125
"BIRC7",4,4,10,2,0,3
"MIR3196",0,0,0,0,0,0
"NKAIN4",0,0,0,0,0,0
"FLJ16779",0,0,0,0,0,0
"ARFGAP1",2068,1969,2147,1727,1719,1920
"MIR4326",1,0,3,2,0,0
"COL20A1",0,0,0,0,0,0
"CHRNA4",0,0,0,0,0,0
"KCNQ2",0,0,0,2,3,4
"EEF1A2",590,608,880,293,291,287
"PPDPF",5925,6131,5893,2736,2608,2817
"PTK6",185,183,197,49,52,42
"SRMS",9,3,4,2,3,4
"C20orf195",6,2,5,8,16,7
"PRIC285",1249,1340,1304,53324,50239,52201
"GMEB2",989,1028,960,861,921,875
"LOC100505771",143,148,163,41,27,34
"STMN3",278,246,263,116,132,127
"RTEL1",50,40,59,43,42,32
"RTEL1-TNFRSF6B",15,22,19,9,20,14
"TNFRSF6B",8,8,8,9,7,13
"ARFRP1",825,892,913,704,638,580
"ZGPAT",1204,1224,1372,1207,1129,1167
"LIME1",272,303,304,207,167,177
"SLC2A4RG",6073,6580,6214,1447,1351,1377
"ZBTB46",538,582,602,543,570,527
"C20orf181",1,0,0,0,0,1
"ABHD16B",283,292,363,337,308,310
"TPD52L2",3685,3815,3517,4309,4642,4525
"LOC100505815",50,54,56,52,49,67
"DNAJC5",6463,6821,6246,8895,9183,8856
"MIR941-1",10,9,7,11,25,23
"MIR941-2",12,4,6,24,16,15
"MIR941-3",1,0,1,6,6,4
"MIR941-4",34,23,30,64,28,35
"UCKL1",1091,1109,1131,501,508,484
"MIR1914",30,28,27,11,18,11
"MIR647",24,22,25,6,11,14
"UCKL1-AS1",153,173,148,98,87,114
"ZNF512B",3784,3937,3859,1183,1198,1254
"SAMD10",213,204,221,57,44,48
"PRPF6",5433,5567,4623,2363,2535,2527
"LINC00176",20,14,37,3,10,5
"SOX18",3,5,2,0,1,2
"TCEA2",303,278,343,118,87,99
"RGS19",2869,3033,2864,1466,1423,1339
"OPRL1",317,357,382,28,39,33
"C20orf201",9,13,11,0,1,0
"NPBWR2",0,2,0,0,0,0
"MYT1",2,2,1,0,0,0
"PCMTD2",1077,958,1039,345,397,347
"MIR3648",75,55,58,113,108,151
"MIR3687",37,29,28,46,44,49
"TEKT4P2",213,168,205,124,180,172
"TPTE",1,2,8,0,1,0
"BAGE2",16,20,35,75,106,103
"ANKRD30BP2",0,0,0,0,0,0
"MIR3156-3",0,0,0,0,0,0
"POTED",0,0,0,0,0,0
"MIR3118-5",0,0,0,0,0,0
"LOC441956",0,0,0,0,0,0
"C21orf15",23,13,22,0,2,3
"C21orf81",5,4,15,6,4,2
"LIPI",14,9,10,12,19,16
"RBM11",7,9,16,13,22,12
"ABCC13",3,3,0,1,0,1
"HSPA13",1155,849,1258,1035,1002,1107
"SAMSN1",247,162,346,1282,1464,1450
"LOC388813",1,0,1,72,87,95
"NRIP1",1828,1153,1981,3821,4345,4453
"LOC100652984",0,0,1,2,0,4
"USP25",1656,1196,1582,2310,2689,2667
"LINC00478",0,0,0,0,0,0
"MIR99A",0,0,0,0,0,0
"MIRLET7C",0,0,0,0,0,0
"MIR125B2",0,0,0,0,0,0
"C21orf37",0,0,0,0,0,0
"CXADR",5,11,5,3,1,7
"BTG3",457,533,559,1487,1687,1493
"C21orf91-OT1",0,1,0,3,3,3
"C21orf91",450,273,449,1691,1854,1886
"CHODL-AS1",0,0,0,0,0,0
"CHODL",3,2,0,11,21,14
"TMPRSS15",0,0,0,0,0,0
"MIR548X",0,0,0,0,0,0
"LOC100505973",0,0,0,0,0,0
"LINC00320",0,0,0,0,0,0
"NCAM2",4450,3408,4750,783,925,875
"LINC00317",0,0,0,0,0,0
"LINC00308",0,0,0,0,0,0
"D21S2088E",0,0,0,0,0,0
"LINC00158",2,0,0,39,60,42
"MIR155HG",250,225,348,749,747,728
"MIR155",0,0,0,0,0,0
"C21orf71",5,1,3,32,41,29
"MRPL39",541,545,623,407,510,456
"JAM2",11,12,5,19,36,22
"ATP5J",2746,2839,2707,1241,1404,1307
"GABPA",1453,942,1512,720,807,906
"APP",19008,19574,19937,19782,21992,21309
"LOC100289065",1,1,0,1,2,0
"CYYR1",0,0,0,2,0,1
"ADAMTS1",443,476,387,118,127,90
"ADAMTS5",7,5,5,16,9,21
"MIR4759",0,0,0,0,0,0
"LINC00113",0,0,0,0,0,0
"LINC00314",0,0,0,0,0,0
"LOC100652994",0,0,0,0,0,0
"LINC00161",0,0,1,0,0,0
"N6AMT1",505,528,512,172,195,145
"LTN1",2173,1327,2409,1480,1672,1695
"RWDD2B",744,804,737,320,358,296
"USP16",1810,1299,1695,1453,1808,1649
"CCT8",10670,10232,11379,5922,6855,6431
"C21orf7",59,40,54,49,68,68
"LINC00189",0,0,0,2,0,0
"BACH1",1489,1092,1768,2555,2942,2847
"GRIK1",11,9,23,53,63,59
"GRIK1-AS2",4,3,7,37,35,36
"GRIK1-AS1",0,1,1,2,3,4
"CLDN17",0,0,0,0,0,0
"LINC00307",0,0,0,0,0,0
"CLDN8",0,0,0,0,0,0
"KRTAP24-1",0,0,0,0,0,0
"KRTAP25-1",0,0,0,0,0,0
"KRTAP26-1",0,0,0,0,0,0
"KRTAP27-1",0,0,0,0,0,0
"KRTAP23-1",0,0,0,0,0,0
"KRTAP13-2",0,0,0,0,0,0
"MIR4327",0,0,0,0,0,0
"KRTAP13-1",0,0,0,0,0,0
"KRTAP13-3",0,0,0,0,0,0
"KRTAP13-4",0,0,0,0,0,0
"KRTAP15-1",0,0,0,0,0,0
"KRTAP19-1",0,0,0,0,0,0
"KRTAP19-2",0,0,0,0,0,0
"KRTAP19-3",0,0,0,0,0,0
"KRTAP19-4",0,0,0,0,0,0
"KRTAP19-5",0,0,0,0,0,0
"KRTAP19-6",0,0,0,0,0,0
"KRTAP19-7",0,0,0,0,0,0
"KRTAP22-2",0,0,0,0,0,0
"KRTAP6-3",0,0,0,0,0,0
"KRTAP6-2",0,0,0,0,0,0
"KRTAP22-1",0,0,0,0,0,0
"KRTAP6-1",0,0,0,0,0,0
"KRTAP20-1",0,0,0,0,0,0
"KRTAP20-4",0,0,0,0,0,0
"KRTAP20-2",0,0,0,0,0,0
"KRTAP20-3",0,0,0,0,0,0
"KRTAP21-3",0,0,0,0,0,0
"KRTAP21-2",0,0,0,0,0,0
"KRTAP21-1",0,0,0,0,0,0
"KRTAP8-1",0,0,0,0,0,0
"KRTAP7-1",0,0,0,0,0,0
"KRTAP11-1",0,0,0,0,0,0
"KRTAP19-8",0,0,0,0,0,0
"TIAM1",0,1,3,0,0,3
"LOC150051",0,0,0,0,0,0
"SOD1",3818,3883,3705,1858,2091,1943
"SCAF4",3786,3516,3388,2811,3182,3282
"HUNK",33,11,18,3,9,10
"LINC00159",0,0,0,0,0,0
"MIS18A",454,469,438,176,189,185
"MRAP",4,1,7,2,1,3
"URB1",2812,2913,2737,945,1010,1035
"SNORA80",0,0,0,0,0,0
"C21orf119",87,97,81,42,48,41
"C21orf63",19,18,13,16,13,20
"TCP10L",17,7,5,7,10,7
"C21orf59",1327,1236,1161,288,346,302
"SYNJ1",755,538,922,1339,1436,1500
"GCFC1-AS1",131,102,177,112,119,117
"GCFC1",2514,1749,2906,2446,2654,2833
"C21orf49",27,23,60,17,24,5
"C21orf62",12,9,12,10,5,4
"OLIG2",216,237,333,140,148,138
"OLIG1",248,257,292,115,123,111
"C21orf54",0,0,1,0,0,0
"IFNAR2",2130,2083,2202,2632,3103,2970
"LOC100288432",156,175,112,162,165,181
"IL10RB",4172,4292,4213,3759,4238,3843
"IFNAR1",2082,1713,2063,2447,2857,2679
"IFNGR2",1798,1832,1644,4735,5229,4833
"TMEM50B",1183,1205,1180,466,499,524
"DNAJC28",33,18,27,24,19,23
"GART",4463,4547,4325,2975,3528,3397
"SON",23983,22844,21944,24937,28332,28179
"DONSON",791,697,669,898,885,877
"LOC100506284",7,6,8,6,7,1
"CRYZL1",367,400,447,264,317,244
"ITSN1",771,622,595,869,1069,1035
"ATP5O",3926,3905,4290,2021,2068,1820
"LOC100506334",198,178,225,483,603,551
"FLJ46020",45,41,52,37,53,69
"MRPS6",847,847,809,1534,1635,1591
"SLC5A3",1620,1140,1908,7256,8271,8285
"LINC00310",4,6,6,11,12,10
"KCNE2",2,2,4,6,3,3
