Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
P49247	RPIA RPI	22934
Q8TD17	ZNF398 KIAA1339 ZER6	57541
Q7Z4H9	FAM220A C7orf70 SIPAR	84792
Q9UM11	FZR1 CDH1 FYR FZR KIAA1242	51343
Q8N9N8	EIF1AD	84285
Q9NUH8	TMEM14B	81853
Q6UX53	METTL7B UNQ594/PRO1180	196410
Q86YA3	ZGRF1 C4orf21	55345
O76064	RNF8 KIAA0646	9025
Q9Y5J7	TIMM9 TIM9 TIM9A TIMM9A	26520
Q9HA64	FN3KRP	79672
Q15005	SPCS2 KIAA0102 SPC25	9789
Q9HBM6	TAF9B TAF9L	51616
P46926	GNPDA1 GNPI HLN KIAA0060	10007
Q13526	PIN1	5300
Q96HR8	NAF1	92345
Q9NVV9	THAP1	55145
P61225	RAP2B	5912
P00966	ASS1 ASS	445
Q92994	BRF1 BRF GTF3B TAF3B2 TAF3C	2972
Q9H0E2	TOLLIP	54472
Q8N5C8	TAB3 MAP3K7IP3	257397
Q9NUQ3	TXLNG CXorf15 ELRG LSR5	55787
Q0VDG4	SCRN3	79634
Q96JA1	LRIG1 LIG1	26018
O96011	PEX11B	8799
Q8IV38	ANKMY2	57037
Q9H467	CUEDC2 C10orf66 HOYS6	79004
A5D8V6	VPS37C PML39	55048
Q9UPQ4	TRIM35 HLS5 KIAA1098	23087
Q9UGP4	LIMD1	8994
P30679	GNA15 GNA16	2769
Q13895	BYSL ENP1	705
Q8N2U9	SLC66A2 PQLC1	80148
Q9ULE6	PALD1 KIAA1274 PALD	27143
Q9HBD1	RC3H2 MNAB RNF164	54542
Q12788	TBL3 SAZD	10607
Q5HY98	ZNF766	90321
O95073	FSBP	25788
Q9Y620	RAD54B	25788
Q96BZ9	TBC1D20 C20orf140	128637
P01031	C5 CPAMD4	727
Q9H936	SLC25A22 GC1	79751
Q9BT92	TCHP	84260
Q9NXD2	MTMR10	54893
O15182	CETN3 CEN3	1070
Q9NVC6	MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80	9440
Q99747	NAPG SNAPG	8774
Q96IK5	GMCL1 BTBD13 GCL SPATA29	64395
O15516	CLOCK BHLHE8 KIAA0334	9575
Q9NPC3	CCNB1IP1 C14orf18 HEI10	57820
Q5T4B2	CERCAM CEECAM1 GLT25D3 KIAA1502	51148
Q96PM5	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363	25898
Q8WXW3	PIBF1 C13orf24 PIBF	10464
P49590	HARS2 HARSL HARSR HO3	23438
Q9UJA3	MCM8 C20orf154	84515
Q9H3S4	TPK1	27010
Q6ZN54	DEF8	54849
Q86YC2	PALB2 FANCN	79728
P10276	RARA NR1B1	5914
Q9BUE6	ISCA1 HBLD2 GK004	81689
Q9Y3D0	CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118	51647
P61457	PCBD1 DCOH PCBD	5092
Q7Z591	AKNA KIAA1968	80709
Q9BW71	HIRIP3	8479
P49761	CLK3	1198
Q9H0H0	INTS2 KIAA1287	57508
Q8N5G2	MACO1 TMEM57	55219
Q2PZI1	DPY19L1 GA0500 KIAA0877	23333
O00459	PIK3R2	5296
Q53HC9	EIPR1 TSSC1	7260
Q96BP3	PPWD1 KIAA0073	23398
Q6ZTN6	ANKRD13D	338692
Q5MCW4	ZNF569	148266
P60602	ROMO1 C20orf52	140823
P60520	GABARAPL2 FLC3A GEF2	11345
Q6UWD8	C16orf54 UNQ9389/PRO34280	283897
O15287	FANCG XRCC9	2189
Q9BZR9	TRIM8 GERP RNF27	81603
Q71SY5	MED25 ACID1 ARC92 PTOV2 TCBAP0758	81857
Q8WY91	THAP4 CGI-36 PP238	51078
Q8N883	ZNF614	80110
P51692	STAT5B	6777
Q9UQ90	SPG7 CAR CMAR PGN	6687
P98161	PKD1	5310
Q5JVG8	ZNF506	440515
P62487	POLR2G RPB7	5436
O43716	GATC 15E1.2	283459
Q9UL33	TRAPPC2L HSPC126	51693
Q0JRZ9	FCHO2	115548
Q96BR6	ZNF669	79862
Q92979	EMG1 C2F	10436
Q9UJJ7	RPUSD1 C16orf40 RLUCL	113000
P49366	DHPS DS	1725
Q8WWI1	LMO7 FBX20 FBXO20 KIAA0858	4008
Q13615	MTMR3 KIAA0371 ZFYVE10	8897
Q9BV38	WDR18	57418
Q96K12	FAR2 MLSTD1	55711
Q96I15	SCLY SCL	51540
P35626	GRK3 ADRBK2 BARK2	157
O14867	BACH1	571
Q92990	GLMN FAP48 FAP68 VMGLOM	11146
Q9H000	MKRN2 RNF62 HSPC070	23609
Q9BQG0	MYBBP1A P160	10514
P52744	ZNF138	7697
P0DMV8	HSPA1A HSP72 HSPA1 HSX70	3303,3304
P0DMV9	HSPA1B HSP72	3303,3304
Q8TB52	FBXO30 FBX30	84085
Q9BV29	CCDC32 C15orf57	90416
P01911	HLA-DRB1	3123
Q92625	ANKS1A ANKS1 KIAA0229 ODIN	23294
Q05048	CSTF1	1477
P0C024	NUDT7	283927
Q9NQQ7	SLC35C2 C20orf5 OVCOV1 CGI-15	51006
Q00577	PURA PUR1	5813
O94829	IPO13 KIAA0724 RANBP13	9670
Q9BW61	DDA1 C19orf58 PCIA1	79016
Q969W1	ZDHHC16 APH2 UNQ2570/PRO6258	84287
Q86VW0	SESTD1 SOLO	91404
Q9NRR5	UBQLN4 C1orf6 CIP75 UBIN	56893
Q71UM5	RPS27L	51065
P29083	GTF2E1 TF2E1	2960
Q96M94	KLHL15 KIAA1677	80311
Q5U5Q3	MEX3C RKHD2 RNF194 BM-013	51320
Q96EK6	GNPNAT1 GNA1	64841
Q969G6	RFK	55312
O95164	UBL3 PNSC1	5412
P29590	PML MYL PP8675 RNF71 TRIM19	5371
Q13884	SNTB1 SNT2B1	6641
Q96G46	DUS3L	56931
Q9NTX9	FAM217B C20orf177	63939
O95409	ZIC2	7546
Q01628	IFITM3	10410
O00399	DCTN6 WS3	10671
Q96MY1	NOL4L C20orf112 C20orf113	140688
Q8WZA1	POMGNT1 MGAT1.2 UNQ746/PRO1475	55624
Q8WYQ5	DGCR8 C22orf12 DGCRK6 LP4941	54487
P49585	PCYT1A CTPCT PCYT1	5130
Q969F2	NKD2	85409
O96017	CHEK2 CDS1 CHK2 RAD53	11200
Q9UKV5	AMFR RNF45	267
Q7Z6M2	FBXO33 FBX33	254170
Q01459	CTBS CTB	1486
Q9HCE1	MOV10 KIAA1631	4343
Q96E16	SMIM19 C8orf40	114926
Q9H0A8	COMMD4	54939
O60739	EIF1B	10289
Q6ZW49	PAXIP1 PAXIP1L PTIP CAGF28	22976
Q96RY5	CRAMP1 C16orf34 CRAMP1L HN1L KIAA1426	57585
P50443	SLC26A2 DTD DTDST	1836
O95789	ZMYM6 Buster2 KIAA1353 ZNF258	9204
P78406	RAE1 MRNP41	8480
Q13188	STK3 KRS1 MST2	6788
P35244	RPA3 REPA3 RPA14	6119
Q9BWW4	SSBP3 SSDP SSDP1	23648
O75208	COQ9 C16orf49 HSPC326 PSEC0129	57017
P09668	CTSH CPSB	1512
O43837	IDH3B	3420
Q6PK04	CCDC137 cPERP-B	339230
Q99633	PRPF18 HPRP18	8559
Q9NR28	DIABLO SMAC	56616
P20585	MSH3 DUC1 DUG	4437
Q14393	GAS6 AXLLG	2621
Q7Z4Q2	HEATR3	55027
Q86VX2	COMMD7 C20orf92	149951
P27701	CD82 KAI1 SAR2 ST6 TSPAN27	3732
Q96GM8	TOE1	114034
P62166	NCS1 FLUP FREQ	23413
Q9H061	TMEM126A	84233
Q9UGC7	MTRF1L MTRF1A	54516
P17035	ZNF28 KOX24	7576
P82663	MRPS25 RPMS25	64432
Q92624	APPBP2 KIAA0228 PAT1	10513
Q9UH62	ARMCX3 ALEX3 BM-017 UNQ2517/PRO6007	51566
Q86VY4	TSPYL5 KIAA1750	85453
P11801	PSKH1	5681
P41236	PPP1R2 IPP2	5504
Q4G148	GXYLT1 GLT8D3	283464
Q8NC60	NOA1 C4orf14	84273
Q9H0C8	ILKAP	80895
Q96EB6	SIRT1 SIR2L1	23411
Q9HAJ7	SAP30L NS4ATP2	79685
Q8NBT0	POC1A WDR51A	25886
O15014	ZNF609 KIAA0295	23060
Q9UBS0	RPS6KB2 STK14B	6199
Q9Y487	ATP6V0A2	23545
Q8TF64	GIPC3 C19orf64	126326
Q5SY16	NOL9	79707
A1L188	NDUFAF8 C17orf89	284184
Q9Y5B0	CTDP1 FCP1	9150
Q9UBI9	HECA HDC	51696
O43414	ERI3 PINT1 PRNPIP PRNPIP1	79033
O14530	TXNDC9 APACD	10190
P49961	ENTPD1 CD39	953
Q8NHQ1	CEP70 BITE	80321
Q9UPP1	PHF8 KIAA1111 ZNF422	23133
Q96B67	ARRDC3 KIAA1376	57561
Q9P016	THYN1 THY28 HSPC144 MDS012 My0054	29087
Q9UNE7	STUB1 CHIP PP1131	10273
Q96BY7	ATG2B C14orf103	55102
O95149	SNUPN RNUT1 SPN1	10073
P78318	IGBP1 IBP1	3476
O15169	AXIN1 AXIN	8312
O75575	CRCP	27297
P49589	CARS1 CARS	833
Q5FBB7	SGO1 SGOL1	151648
O43463	SUV39H1 KMT1A SUV39H	6839
Q86Y82	STX12	23673
P17019	ZNF708 KOX8 ZNF15 ZNF15L1	7562
Q8WXC6	COPS9 MYEOV2	150678
Q9NRW7	VPS45 VPS45A VPS45B	11311
Q86UA1	PRPF39	55015
P43353	ALDH3B1 ALDH7	221
Q9C0C9	UBE2O KIAA1734	63893
P53611	RABGGTB GGTB	5876
Q9H9E3	COG4	25839
Q9UDV7	ZNF282 HUB1	8427
Q99704	DOK1	1796
P54277	PMS1 PMSL1	5378
Q9Y5N6	ORC6 ORC6L	23594
O75157	TSC22D2 KIAA0669 TILZ4	9819
Q8NCY6	MSANTD4 KIAA1826 DC25	84437
Q53T94	TAF1B	9014
Q96ME7	ZNF512 KIAA1805	84450
Q8TF32	ZNF431 KIAA1969	170959
Q9UKI2	CDC42EP3 BORG2 CEP3	10602
Q3B7T1	EDRF1 C10orf137	26098
Q96H35	RBM18	92400
Q9Y4L5	RNF115 ZNF364	27246
Q9HC62	SENP2 KIAA1331	59343
Q9UK39	NOCT CCR4 CCRN4L NOC	25819
P37235	HPCAL1 BDR1	3241
Q9HBG6	IFT122 SPG WDR10 WDR140	55764
Q13506	NAB1	4664
O95817	BAG3 BIS	9531
P12524	MYCL BHLHE38 LMYC MYCL1	4610
Q9Y248	GINS2 PSF2 CGI-122 DC5 HSPC037	51659
P42785	PRCP PCP	5547
O14593	RFXANK ANKRA1 RFXB	8625
P07099	EPHX1 EPHX EPOX	2052
O75956	CDK2AP2 DOC1R	10263
O00411	POLRMT	5442
Q12912	IRAG2 JAW1 LRMP	4033
Q9GZX9	TWSG1 TSG PSEC0250	57045
Q96KM6	ZNF512B KIAA1196	57473
Q8NDZ4	DIPK2A C3orf58 DIA1	205428
Q9BVC4	MLST8 GBL LST8	64223
P52758	RIDA HRSP12	10247
Q96P47	AGAP3 CENTG3	116988
P49450	CENPA	1058
Q14257	RCN2 ERC55	5955
Q9UJA2	CRLS1 C20orf155 CLS1	54675
Q15785	TOMM34 URCC3	10953
Q8IW41	MAPKAPK5 PRAK	8550
P21127	CDK11B CDC2L1 CDK11 PITSLREA PK58	984
Q8N5I2	ARRDC1	92714
Q14674	ESPL1 ESP1 KIAA0165	9700
Q9H0K1	SIK2 KIAA0781 QIK SNF1LK2	23235
Q6PJP8	DCLRE1A KIAA0086 SNM1 SNM1A	9937
O60930	RNASEH1 RNH1	246243
Q9GZN2	TGIF2	60436
Q9NY12	GAR1 NOLA1	54433
Q9Y6I9	TEX264 ZSIG11 UNQ337/PRO536	51368
P12980	LYL1 BHLHA18	4066
Q6ICC9	RTL6 LDOC1L MAR6 MART6	84247
Q9BUB5	MKNK1 MNK1	8569
Q86WX3	RPS19BP1 AROS	91582
Q96GS6	ABHD17A C19orf27 FAM108A1	81926
Q5TFE4	NT5DC1 NT5C2L1 LP2642	221294
Q9NXN4	GDAP2	54834
Q9NQZ7	ENTPD7 LALP1	57089
Q5SNT2	TMEM201 NET5 SAMP1	199953
Q8IZL8	PELP1 HMX3 MNAR	27043
Q14197	MRPL58 DS1 ICT1	3396
Q9Y606	PUS1 PP8985	80324
Q99640	PKMYT1 MYT1	9088
Q9BVW5	TIPIN	54962
Q96P11	NSUN5 NSUN5A WBSCR20 WBSCR20A	55695
Q9UNH5	CDC14A	8556
Q9NRA8	EIF4ENIF1	56478
O75569	PRKRA PACT RAX HSD-14 HSD14	8575
Q14593	ZNF273	10793
Q7Z388	DPY19L4	286148
P38117	ETFB FP585	2109
Q96I51	RCC1L WBSCR16	81554
Q99961	SH3GL1 CNSA1 SH3D2B	6455
Q9UHH9	IP6K2 IHPK2 TCCCIA00113	51447
Q8IYB8	SUPV3L1 SUV3	6832
P35573	AGL GDE	178
O14709	ZNF197 ZKSCAN9 ZNF166	10168
O43379	WDR62 C19orf14	284403
Q5MNZ6	WDR45B WDR45L WIPI3	56270
Q9GZR2	REXO4 PMC2 XPMC2H	57109
O75665	OFD1 CXorf5	8481
Q9UJS0	SLC25A13 ARALAR2	10165
P53701	HCCS CCHL	3052
Q0VG06	FAAP100 C17orf70	80233
Q9UET6	FTSJ1 JM23	24140
Q5VZE5	NAA35 EGAP MAK10	60560
Q9NV56	MRGBP C20orf20	55257
P0C7T5	ATXN1L BOAT BOAT1	342371
Q7Z7K0	CMC1 C3orf68	152100
Q93084	ATP2A3	489
Q8N4F7	RNF175	285533
Q9GZN7	ROGDI	79641
Q5HYJ3	FAM76B	143684
Q96IZ5	RBM41	55285
P32322	PYCR1	5831
Q9UMS5	PHTF1 PHTF	10745
Q9H8W3	FAM204A C10orf84	63877
Q9NYQ6	CELSR1 CDHF9 FMI2	9620
Q9H7Z7	PTGES2 C9orf15 PGES2	80142
A9UHW6	MIF4GD SLIP1	57409
Q8N392	ARHGAP18	93663
P23470	PTPRG PTPG	5793
Q9Y6W6	DUSP10 MKP5	11221
Q13769	THOC5 C22orf19 KIAA0983	8563
Q9H741	SPRING C12orf49	79794
Q9ULU4	ZMYND8 KIAA1125 PRKCBP1 RACK7	23613
Q06609	RAD51 RAD51A RECA	5888
Q9Y6H3	ATP23 KUB3 XRCC6BP1	91419
O95900	TRUB2	26995
P26651	ZFP36 G0S24 NUP475 RNF162A TIS11A TTP	7538
Q15269	PWP2 PWP2H	5822
Q6YHK3	CD109 CPAMD7	135228
Q9BRS2	RIOK1 RIO1	83732
Q9NZ42	PSENEN PEN2 MDS033	55851
Q9HC38	GLOD4 C17orf25 CGI-150 My027	51031
P06132	UROD	7389
Q8TDJ6	DMXL2 KIAA0856	23312
Q9BXM7	PINK1	65018
Q96IU4	ABHD14B CIB	84836
P25025	CXCR2 IL8RB	3579
Q9H816	DCLRE1B SNM1B	64858
Q8NCN2	ZBTB34 KIAA1993	403341
Q86Y07	VRK2	7444
Q9NYB9	ABI2 ARGBPIA	10152
Q13490	BIRC2 API1 MIHB RNF48	329
Q9NUJ1	ABHD10	55347
Q96CB9	NSUN4	387338
Q9BQB6	VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351	79001
Q96CU9	FOXRED1 FP634	55572
Q9Y6M7	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6	9497
O75886	STAM2 HBP	10254
P48637	GSS	2937
Q9NUM4	TMEM106B	54664
Q9Y570	PPME1 PME1 PP2593 PRO0750	51400
A8MPS7	YDJC	150223
Q86TJ2	TADA2B ADA2B	93624
O00221	NFKBIE IKBE	4794
Q7Z3K6	MIER3	166968
Q9Y2P8	RCL1 RNAC RPC2 RPCL1 RTC2 HSPC338	10171
Q9Y296	TRAPPC4 SBDN CGI-104 HSPC172 PTD009	51399
O95628	CNOT4 NOT4	4850
Q14353	GAMT	2593
Q8N0U8	VKORC1L1	154807
O95551	TDP2 EAP2 TTRAP AD-022	51567
P52747	ZNF143 SBF STAF	7702
Q9NUJ7	PLCXD1	55344
Q16134	ETFDH	2110
P51816	AFF2 FMR2 OX19	2334
Q06546	GABPA E4TF1A	2551
Q9NV92	NDFIP2 KIAA1165 N4WBP5A	54602
P51153	RAB13 GIG4	5872
Q8TE77	SSH3 SSH3L	54961
P35625	TIMP3	7078
Q9BVG4	PBDC1 CXorf26	51260
P20936	RASA1 GAP RASA	5921
Q04726	TLE3 KIAA1547	7090
Q6N069	NAA16 NARG1L NAT2	79612
Q13356	PPIL2	23759
P35813	PPM1A PPPM1A	5494
Q9HCN8	SDF2L1 UNQ1941/PRO4424	23753
Q9H0P0	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	51251
Q8N2F6	ARMC10 SVH PSEC0198	83787
Q9Y2D1	ATF5 ATFX	22809
Q8NEN9	PDZD8 PDZK8	118987
O15504	NUP42 CG1 NUPL2	11097
Q8TBF5	PIGX	54965
Q6P4A7	SFXN4 BCRM1	119559
Q03923	ZNF85	7639
Q9BW92	TARS2 TARSL1	80222
Q641Q2	WASHC2A FAM21A FAM21B	387680
O95059	RPP14	11102
Q9H7H0	METTL17 METT11D1	64745
Q9Y2I8	WDR37 KIAA0982	22884
O15078	CEP290 BBS14 KIAA0373 NPHP6	80184
O15013	ARHGEF10 KIAA0294	9639
Q6RI45	BRWD3	254065
Q5SWX8	ODR4 C1orf27 TTG1 TTG1A	54953
P51523	ZNF84	7637
Q9Y2V2	CARHSP1	23589
P54803	GALC	2581
Q9HB40	SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302	59342
Q9H2K0	MTIF3 DC38	219402
Q8NB49	ATP11C ATPIG ATPIQ	286410
Q96SN7	ORAI2 C7orf19 CBCIP2 TMEM142B PP1729	80228
P39880	CUX1 CUTL1	1523
Q13948	CUX1 CUTL1	1523
Q5FWF5	ESCO1 EFO1 KIAA1911	114799
Q8IWD4	CCDC117	150275
P62312	LSM6	11157
Q14012	CAMK1	8536
Q96N66	MBOAT7 BB1 LENG4 OACT7	79143
Q6ZNJ1	NBEAL2 KIAA0540 UNQ253/PRO290	23218
Q9H8G2	CAAP1 C9orf82 CAAP	79886
Q9UHR5	SAP30BP HCNGP HTRG HTRP	29115
Q14320	FAM50A DXS9928E HXC26 XAP5	9130
Q9H3F6	KCTD10 ULR061 MSTP028	83892
P30044	PRDX5 ACR1 SBBI10	25824
Q9NYF3	FAM53C C5orf6	51307
Q8TET4	GANC	2595
P19021	PAM	5066
Q969X5	ERGIC1 ERGIC32 KIAA1181 HT034	57222
Q9H3G5	CPVL VLP PSEC0124 UNQ197/PRO223	54504
Q9NYP3	DONSON C21orf60	29980
P49916	LIG3	3980
Q9H0L4	CSTF2T KIAA0689	23283
Q9Y608	LRRFIP2	9209
Q9Y4C4	MFHAS1 MASL1	9258
Q9NYR9	NKIRAS2 KBRAS2	28511
Q8NBP0	TTC13 PSEC0076	79573
Q5T653	MRPL2 CGI-22	51069
Q8TCN5	ZNF507 KIAA1084	22847
Q02083	NAAA ASAHL PLT	27163
P32019	INPP5B OCRL2	3633
P06756	ITGAV MSK8 VNRA VTNR	3685
Q7Z6K1	THAP5	168451
Q9NZQ3	NCKIPSD AF3P21 SPIN90	51517
Q96EI5	TCEAL4 NPD017	79921
Q8IUR0	TRAPPC5	126003
Q99627	COPS8 CSN8	10920
P54274	TERF1 PIN2 TRBF1 TRF TRF1	7013
Q9H5H4	ZNF768	79724
Q96RL7	VPS13A CHAC KIAA0986	23230
P20292	ALOX5AP FLAP	241
P23352	ANOS1 ADMLX KAL KAL1 KALIG1	3730
Q8NCN4	RNF169 KIAA1991	254225
O43150	ASAP2 DDEF2 KIAA0400	8853
Q8IXU6	SLC35F2	54733
P63302	SELENOW SELW SEPW1	6415
P17026	ZNF22 KOX15 KROX26	7570
P82933	MRPS9 RPMS9	64965
P42574	CASP3 CPP32	836
Q9BT43	POLR3GL	84265
O75151	PHF2 CENP-35 KIAA0662	5253
Q9UI12	ATP6V1H CGI-11	51606
A1XBS5	FAM92A FAM92A1	137392
Q32P44	EML3	256364
Q9Y4K4	MAP4K5	11183
Q5T7W0	ZNF618 KIAA1952	114991
Q9C0D4	ZNF518B KIAA1729	85460
Q7Z6B0	CCDC91 GGABP HSD8	55297
Q92556	ELMO1 KIAA0281	9844
Q03001	DST BP230 BP240 BPAG1 DMH DT KIAA0728	667
Q14061	COX17	10063
Q9BRG1	VPS25 DERP9 EAP20	84313
Q9H8G1	ZNF430	80264
Q9UQL6	HDAC5 KIAA0600	10014
Q9NPI6	DCP1A SMIF	55802
Q6ZMI0	PPP1R21 CCDC128 KLRAQ1	129285
Q86Y91	KIF18B	146909
Q9NNW5	WDR6	11180
Q9UNF1	MAGED2 BCG1	10916
Q3KQV9	UAP1L1	91373
Q9H0M0	WWP1	11059
Q5M775	SPECC1 CYTSB NSP5	92521
Q96PE3	INPP4A	3631
Q8IXS8	FAM126B	285172
P15336	ATF2 CREB2 CREBP1	1386
Q9H2L5	RASSF4 AD037	83937
Q9UBP0	SPAST ADPSP FSP2 KIAA1083 SPG4	6683
Q8IXT1	DDIAS C11orf82 NOXIN	220042
Q9BS18	ANAPC13	25847
Q96DE0	NUDT16	131870
Q70J99	UNC13D	201294
O15479	MAGEB2	4113
Q6IQ49	SDE2 C1orf55	163859
P51817	PRKX PKX1	5613
Q7Z3B3	KANSL1 CENP-36 KIAA1267 MSL1V1 NSL1	284058
Q96K49	TMEM87B	84910
O43156	TTI1 KIAA0406 SMG10	9675
Q9Y5P4	CERT1 CERT COL4A3BP STARD11	10087
P0C6T2	OST4	100128731
Q92564	DCUN1D4 KIAA0276	23142
Q92844	TANK ITRAF TRAF2	10010
Q66K74	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1	55201
Q6NXE6	ARMC6	93436
Q5XG87	TENT4A PAPD7 POLS TRF4	11044
Q14154	DELE1 DELE KIAA0141	9812
Q5BJH7	YIF1B PP4519 UNQ3073/PRO9905	90522
Q9UFN0	NIPSNAP3A NIPSNAP4 HSPC299	25934
Q9H6Y7	RNF167 LP2254	26001
Q96EX3	WDR34	89891
Q13011	ECH1	1891
O95139	NDUFB6	4712
Q96SY0	INTS14 C15orf44 VWA9	81556
Q9NZ32	ACTR10 ACTR11 ARP11	55860
Q96AB3	ISOC2	79763
Q15554	TERF2 TRBF2 TRF2	7014
Q6PJ69	TRIM65	201292
O95926	SYF2 CBPIN GCIPIP	25949
B0I1T2	MYO1G HA2	64005
Q6UWL2	SUSD1 UNQ2438/PRO4999	64420
Q99828	CIB1 CIB KIP PRKDCIP	10519
Q5VYS8	TUT7 HS2 KIAA1711 ZCCHC6	79670
Q96AW1	VOPP1 ECOP GASP	81552
Q07812	BAX BCL2L4	581
P17612	PRKACA PKACA	5566
Q96GR4	ZDHHC12 ZNF400 PSEC0008	84885
Q9NRG9	AAAS ADRACALA GL003	8086
Q96RQ3	MCCC1 MCCA	56922
Q9UK58	CCNL1 BM-001 UNQ530/PRO1073	57018
Q9Y2Y1	POLR3K RPC11 My010	51728
Q9NP64	ZCCHC17 PS1D HSPC243 HSPC251 LDC4	51538
Q7Z4H8	POGLUT3 KDELC2 UNQ1904/PRO4350	143888
Q16626	MEA1 MEA	4201
Q9P2N6	KANSL3 KIAA1310 NSL3 PRTD SI1	55683
Q8NG68	TTL	150465
Q9H0X4	FAM234A C16orf9 ITFG3	83986
Q9Y2Q9	MRPS28 MRPS35 HSPC007	28957
Q9Y6I4	USP3	9960
Q7Z569	BRAP RNF52	8315
Q9H4P4	RNF41 FLRF NRDP1 SBBI03	10193
O43567	RNF13 RZF	11342
Q9Y2K1	ZBTB1 KIAA0997	22890
Q96JK2	DCAF5 BCRG2 KIAA1824 WDR22	8816
Q6PJG6	BRAT1 BAAT1 C7orf27	221927
Q01968	OCRL OCRL1	4952
Q6PGN9	PSRC1 DDA3 FP3214	84722
Q9Y6W3	CAPN7 PALBH	23473
O95466	FMNL1 C17orf1 C17orf1B FMNL FRL1	752
O43665	RGS10	6001
Q8NEM7	SUPT20H C13orf19 FAM48A FP757	55578
P02750	LRG1 LRG	116844
Q9UMR2	DDX19B DBP5 DDX19 TDBP	11269
Q8NB14	USP38 KIAA1891	84640
Q9UBZ9	REV1 REV1L	51455
Q8WUB2	FAM216A C12orf24	29902
O95785	WIZ ZNF803	58525
Q9UJL9	ZFP69B ZNF643	65243
Q12792	TWF1 PTK9	5756
Q8N567	ZCCHC9	84240
O95816	BAG2	9532
P15559	NQO1 DIA4 NMOR1	1728
Q8NBM8	PCYOX1L PSEC0105	78991
O43752	STX6	10228
Q7L8J4	SH3BP5L KIAA1720 UNQ2766/PRO7133	80851
Q9UHD9	UBQLN2 N4BP4 PLIC2 HRIHFB2157	29978
Q9BVJ6	UTP14A SDCCAG16	10813
Q00765	REEP5 C5orf18 DP1 TB2	7905
Q16643	DBN1 D0S117E	1627
P16435	POR CYPOR	5447
Q2TAK8	PWWP3A EXPAND1 MUM1	84939
O95427	PIGN MCD4	23556
Q9NNX6	CD209 CLEC4L	30835
Q9Y6K0	CEPT1 PRO1101	10390
P81274	GPSM2 LGN	29899
Q9Y316	MEMO1 C2orf4 MEMO NS5ATP7 CGI-27	51072
Q15836	VAMP3 SYB3	9341
Q8N5K1	CISD2 CDGSH2 ERIS ZCD2	493856
Q7L2Z9	CENPQ C6orf139	55166
Q9BTE6	AARSD1	80755
Q6PIW4	FIGNL1	63979
Q14938	NFIX	4784
Q9UBT6	POLK DINB1	51426
P20226	TBP GTF2D1 TF2D TFIID	6908
P57764	GSDMD DFNA5L GSDMDC1 FKSG10	79792
Q96E29	MTERF3 MTERFD1 CGI-12	51001
Q9BU23	LMF2 TMEM112B TMEM153	91289
P20333	TNFRSF1B TNFBR TNFR2	7133
Q6ZU80	CEP128 C14orf145 C14orf61	145508
Q86TM6	SYVN1 HRD1 KIAA1810	84447
Q8IXW5	RPAP2 C1orf82	79871
O14602	EIF1AY	9086
O14874	BCKDK	10295
Q8IVD9	NUDCD3 KIAA1068	23386
Q9NYK5	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22	54148
P19474	TRIM21 RNF81 RO52 SSA1	6737
Q8NI77	KIF18A OK/SW-cl.108	81930
Q9H2D6	TRIOBP KIAA1662 TARA HRIHFB2122	11078
Q6P4H8	ATPSCKMT FAM173B	134145
O60830	TIMM17B TIM17B JM3	10245
O94864	SUPT7L KIAA0764	9913
O95400	CD2BP2 KIAA1178	10421
Q9BV87	CNPPD1 C2orf24 CDABP0125 CGI-57	27013
Q92966	SNAPC3 SNAP50	6619
Q5HYK3	COQ5	84274
Q9BZD6	PRRG4 PRGP4 TMG4	79056
Q1XH10	SKIDA1 C10orf140 DLN1	387640
Q9BRL6	SRSF8 SFRS2B SRP46	10929
Q8IY95	TMEM192	201931
O95707	POP4 RPP29	10775
P51790	CLCN3	1182
Q6P1Q9	METTL2B	55798
Q9Y289	SLC5A6 SMVT	8884
Q7KZN9	COX15	1355
O15126	SCAMP1 SCAMP	9522
O14966	RAB29 RAB7L1	8934
Q9NP66	HMG20A HMGX1 HMGXB1	10363
Q9H3S1	SEMA4A SEMAB SEMB UNQ783/PRO1317	64218
Q9H7L9	SUDS3 SAP45 SDS3	64426
Q9Y673	ALG5 HSPC149	29880
Q96PZ0	PUS7 KIAA1897	54517
Q9NQL2	RRAGD	58528
Q6PIJ6	FBXO38 SP329	81545
Q8TAG9	EXOC6 SEC15A SEC15L SEC15L1	54536
P17038	ZNF43 KOX27 ZNF39 ZNF39L1	7594
Q5T447	HECTD3	79654
Q9BYD1	MRPL13	28998
Q8N5D0	WDTC1 KIAA1037	23038
P19878	NCF2 NOXA2 P67PHOX	4688
Q8N1G2	CMTR1 FTSJD2 KIAA0082 MTR1	23070
Q96CT7	CCDC124	115098
