Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q5SQQ9	VAX1	11023
O60282	KIF5C KIAA0531 NKHC2	3800
P07359	GP1BA	2811
Q09013	DMPK DM1PK MDPK	1760
P13929	ENO3	2027
Q9BYU1	PBX4	80714
Q15760	GPR19	2842
Q8TBY8	PMFBP1	83449
P09104	ENO2	2026
Q86V42	FAM124A	220108
D6RGH6	MCIDAS IDAS MCI MCIN	345643
Q7Z5J8	ANKAR	150709
Q9NZL6	RGL1 KIAA0959 RGL	23179
Q8N6M3	FITM2 C20orf142 FIT2	128486
O75469	NR1I2 PXR	8856
Q96D98	EID2B EID3	126272
P0DN25	C1GALT1C1L	728819
Q8N1D0	SLC22A18AS BWR1B BWSCR1B ORCTL2S SLC22A1LS	5003
Q7L0J3	SV2A KIAA0736 PSEC0174	9900
Q6ZMC9	SIGLEC15 CD33L3	284266
P29317	EPHA2 ECK	1969
Q9C040	TRIM2 KIAA0517 RNF86	23321
Q8NG50	RDM1 RAD52B	201299
Q9P2F6	ARHGAP20 KIAA1391	57569
P52943	CRIP2 CRP2	1397
P52799	EFNB2 EPLG5 HTKL LERK5	1948
P14784	IL2RB IL15RB	3560
Q86XD5	FAM131B KIAA0773	9715
P0C6A0	ZGLP1 GLP1	100125288
Q8TC99	FNDC8	54752
Q9H4Q3	PRDM13 PFM10	59336
P48067	SLC6A9	6536
P43657	LPAR6 P2RY5	10161
Q96G30	MRAP2 C6orf117	112609
C9JUS6	ADM5 C19orf76	199800
Q9BZW7	TSGA10 CEP4L	80705
Q96NS5	ASB16	92591
Q96D05	FAM241B C10orf35	219738
Q9HB14	KCNK13	56659
Q96J88	EPSTI1	94240
O95471	CLDN7 CEPTRL2 CPETRL2	1366
P08913	ADRA2A ADRA2R ADRAR	150
P20774	OGN OIF SLRR3A	4969
Q8IYE1	CCDC13	152206
O00534	VWA5A BCSC1 LOH11CR2A	4013
Q8N0W4	NLGN4X KIAA1260 NLGN4 UNQ365/PRO701	57502
O15264	MAPK13 PRKM13 SAPK4	5603
Q9Y5H3	PCDHGA10	56106
O15063	GARRE1 KIAA0355	9710
Q9NR96	TLR9 UNQ5798/PRO19605	54106
O60242	ADGRB3 BAI3 KIAA0550	577
Q7L7L0	H2AW HIST3H2A	92815
P07550	ADRB2 ADRB2R B2AR	154
Q9BRK3	MXRA8	54587
P57789	KCNK10 TREK2	54207
Q9Y663	HS3ST3A1 3OST3A1 HS3ST3A UNQ2551/PRO6180	9955
Q14247	CTTN EMS1	2017
O75444	MAF	4094
P48061	CXCL12 SDF1 SDF1A SDF1B	6387
Q8IVV2	LOXHD1	125336
P32754	HPD PPD	3242
Q9HCR9	PDE11A	50940
Q99742	NPAS1 BHLHE11 MOP5 PASD5	4861
P40259	CD79B B29 IGB	974
Q9UPM9	B9D1 MKSR1	27077
Q58DX5	NAALADL2	254827
Q8WXU2	DNAAF4 DYX1C1 EKN1	161582
Q96A28	SLAMF9 CD2F10 UNQ1938/PRO4421	89886
Q8WTX7	CASTOR1 GATSL3	652968
Q9ULE4	FAM184B KIAA1276	27146
P07996	THBS1 TSP TSP1	7057
Q7Z692	CEACAM19 CEAL1 UNQ2973/PRO7436	56971
A8MSI8	LYRM9 C17orf108 HSD24	201229
Q86UR1	NOXA1 P51NOX	10811
P78333	GPC5	2262
Q68DN1	C2orf16	84226
P17066	HSPA6 HSP70B'	3310
O14508	SOCS2 CIS2 SSI2 STATI2	8835
Q14863	POU6F1 BRN5 MPOU TCFB1	5463
Q96A09	TENT5B FAM46B	115572
Q96RW7	HMCN1 FIBL6	83872
P25105	PTAFR PAFR	5724
Q96SF7	TBX15 TBX14	6913
Q86Y29	BAGE3	85318
C9JH25	PRRT4	401399
Q16773	KYAT1 CCBL1	883
Q15646	OASL TRIP14	8638
Q5T9C9	PIP5KL1	138429
Q9NVM1	EVA1B C1orf78 FAM176B	55194
P38405	GNAL	2774
Q9UKX5	ITGA11 MSTP018	22801
Q9HAP6	LIN7B MALS2 VELI2 UNQ3116/PRO10200	64130
Q6IPX1	TBC1D3C TBC1D3D	414060,729873
Q8IZP1	TBC1D3 PRC17 TBC1D3A	414060,729873
Q8TAE7	KCNG3	170850
O43520	ATP8B1 ATPIC FIC1 PFIC	5205
Q9P2Q2	FRMD4A FRMD4 KIAA1294	55691
Q53EV4	LRRC23 LRPB7	10233
Q9UK00	C3orf18	51161
Q8WW62	TMED6 UNQ9146/PRO34237	146456
P11532	DMD	1756
Q9ULV5	HSF4	3299
Q8N386	LRRC25 MAPA UNQ6169/PRO20174	126364
P43320	CRYBB2 CRYB2 CRYB2A	1415
P13725	OSM	5008
A4QPB2	LRP5L	91355
Q96EG3	ZNF837	116412
Q8IY84	NIM1K NIM1	167359
Q6P9F0	CCDC62	84660
Q4VX76	SYTL3 SLP3	94120
Q3B8N5	PROX2	283571
O75828	CBR3	874
Q9UEW3	MARCO SCARA2	8685
Q5VZR2	NUTM2G FAM22G	441457
Q6NWY9	PRPF40B HYPC	25766
Q96T83	SLC9A7 NHE7	84679
Q12870	TCF15 BHLHA40 BHLHEC2	6939
O15484	CAPN5 NCL3	726
Q9P1W3	TMEM63C C14orf171 CSC1	57156
Q13261	IL15RA	3601
Q9H4G0	EPB41L1 KIAA0338	2036
Q99959	PKP2	5318
Q9NPE6	SPAG4 SUN4	6676
