	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
9526	163.8926	172.4453	648.2928	665.996	609.9818	652.5282	485.5227833	8.923395186
79710	599.8468	595.4242	421.1902	454.1792	439.3358	403.1781	485.5257167	8.923403902
1877	199.9489	217.9968	620.2801	619.9271	658.3832	596.7036	485.53995	8.923446195
10965	216.3382	224.5042	601.2716	622.9316	645.3521	603.5266	485.65405	8.923785182
65263	111.447	94.35684	656.7966	705.0544	642.2494	705.8718	485.9626733	8.924701695
8226	357.2858	393.6958	522.7361	545.8163	544.2056	552.0438	485.9639	8.924705336
51550	714.5716	644.2295	374.169	361.0399	409.5504	414.9633	486.4206167	8.926060568
81928	337.6187	322.1147	578.7614	569.8522	555.3751	555.1452	486.4778833	8.926230407
203	301.5623	312.3537	583.2634	580.3679	546.6877	594.8427	486.51295	8.926334397
7737	685.071	657.2442	365.6651	382.5721	412.653	416.2038	486.5682	8.926498225
7485	835.8521	959.8368	277.6254	264.8962	299.0959	284.0855	486.89865	8.92747769
85456	226.1718	198.4747	611.7763	620.9286	636.0441	630.1983	487.2656333	8.928564663
51547	144.2255	165.9379	649.7935	627.4383	674.517	662.4526	487.3941333	8.928945076
139170	698.1824	732.0789	364.1645	361.0399	386.5907	382.709	487.4609	8.929142692
161424	78.66844	87.84947	689.8115	684.023	706.7846	677.9594	487.5160683	8.92930596
5290	737.5166	826.4358	345.1559	319.9785	354.3231	342.3912	487.6335167	8.92965348
1604	891.5756056	800.4062916	322.6457157	301.9515717	306.542243	302.6936954	487.6358538	8.929660395
646644	1107.914	1093.238	184.0831	172.2576	197.9493	171.1956	487.7729333	8.930065895
7982	478.5663	471.7842	506.2286	496.7429	487.7373	485.6745	487.7889667	8.930113316
29929	685.0709616	751.6010299	352.1590447	340.5092351	395.8986863	403.1780779	488.0695059	8.930942806
9050	485.122	458.7695	502.2268	493.7384	529.3128	459.623	488.1320833	8.931127768
57117	645.7367	553.1263	424.6918	437.1538	454.2286	415.5836	488.4201333	8.931978861
125988	131.1141	152.9232	657.2969	658.4848	665.8296	666.1742	488.6371333	8.932619693
54987	478.5663177	400.2031458	549.2480555	468.2001983	515.0406107	521.0301315	488.7147432	8.932848817
55279	809.6293	764.6158	344.1554	324.986	337.5688	351.6953	488.7751	8.933026981
8576	399.8979	348.1442	564.7551	562.341	514.4201	544.6005	489.0264667	8.933768737
5635	268.7838	312.3537	583.2634	601.9001	567.7857	601.0455	489.1887	8.934247269
118924	1012.856	985.8663	218.0985	235.352	246.9713	236.3244	489.24475	8.934412559
51559	435.9542	439.2474	474.2142	551.3245	508.2148	527.2329	489.3646667	8.934766129
115939	239.2832	182.2063	622.7813	612.9166	639.1468	640.1227	489.4094833	8.934898247
651746	465.4549	403.4568	521.2354	500.7489	510.0764	535.9167	489.4815167	8.935110573
80219	544.1233	569.3947	436.6972	437.1538	475.3266	475.7501	489.74095	8.935875023
286101	685.071	686.5273	358.1618	406.6081	395.2782	408.1403	489.96445	8.936533266
56983	524.4562	579.1558	478.7162	472.7069	438.7153	446.5973	490.05795	8.93680855
8449	216.3382	292.8316	606.2738	601.9001	611.2229	612.8307	490.2328833	8.937323449
7273	504.7891	442.501	518.234	488.7309	492.7015	495.5989	490.4259	8.937891361
27153	314.6737	231.0116	616.2783	626.9376	573.3705	580.5764	490.4746833	8.938034861
5467	285.1731	302.5926	596.7695	607.4084	554.7546	596.7036	490.5669667	8.93830628
79571	288.4509	335.1295	571.7582	573.3575	604.3971	570.652	490.6242	8.938474586
5366	767.0172	689.781	358.662	380.0684	377.2828	372.1644	490.8293	8.939077563
2178	265.506	214.7432	619.2797	607.4084	598.1917	640.1227	490.8752833	8.939212715
27348	590.0133	566.141	430.6945	443.6635	442.4385	473.8893	491.1400167	8.939990564
153830	403.1757	517.3358	513.732	500.7489	529.3128	483.1934	491.2497667	8.940312912
200894	763.7394	741.84	376.6701	337.004	383.4881	345.4926	491.3723667	8.940672917
